```csv
kode_produk,nama_produk,kategori,harga,stok,last_updated
PRD-001,BAJU   bayi LUcu,pakaian,85000,120,2026-01-15T08:30:00
PRD-002,sePAtu   RunNiNG,Footwear,450000,45,1715164800
PRD-003,Tas   SELEMPANG kulit,tas,320000,30,2026-02-03T14:22:11
PRD-004,kaos poLO   pRiA,CLOTHES,95000,200,1717200000
PRD-005,CELANA   jeans SLiM,pakaian,275000,88,2026-01-28T09:15:44
PRD-006,topi   BasEBaLL,Aksesoris,65000,150,2026-03-10T11:00:00
PRD-007,Jaket   KULIT asLi,Pakaian,850000,22,1719792000
PRD-008,sandaL   JePiT impOr,footwear,55000,300,2026-02-20T16:45:30
PRD-009,BaJu   RenAnG AnAk,pakaian,130000,60,1715164800
PRD-010,DOMPET   kulit PRiA,Tas,210000,75,2026-04-01T07:30:00
PRD-001,BAJU   bayi LUcu,clothes,85000,115,1720396800
PRD-011,kaCaMaTa   hitAM,aksesoris,175000,40,2026-03-25T13:10:55
PRD-012,sepaTO   FoRMal,FOOTWEAR,520000,18,1718064000
PRD-007,Jaket   KULIT asLi,pakaian,850000,20,2026-04-15T09:00:00
PRD-013,beLT   KuLiT aNak,Aksesoris,45000,500,2026-01-05T10:20:00
PRD-014,ROk   MiNi WANITA,PAKAIAN,165000,95,1716422400
PRD-015,SaRUnG   TanGAN kulit,aksesoris,89000,110,2026-02-14T08:00:00
PRD-009,BaJu   RenAnG AnAk,Pakaian,130000,58,2026-04-22T17:55:00
PRD-016,celanA   PenDeK spoRT,clothes,115000,140,1721001600
PRD-017,IKAT   pinGGanG anyAM,Aksesoris,72000,85,2026-05-01T12:30:00
```
